Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB38,"Pensions, Benefits, and Retirement",Official LIS subject,"Pensions, Benefits, and Retirement",,CIBillSubjects.csv,"Pensions, Benefits, and Retirement",False,
HB38,Local Government and Officials,Official LIS subject,Local Government and Officials,,CIBillSubjects.csv,Local Government and Officials,False,
HB38,"Pensions, Benefits, and Retirement",Official LIS subject,Retirement Systems,"Pensions, Benefits, and Retirement",CIBillSubjects.csv,Retirement Systems,False,
HB41,Education,Official LIS subject,Education,,CIBillSubjects.csv,Education,False,
HB41,Education,Official LIS subject,Standards of Learning,Education,CIBillSubjects.csv,Standards of Learning,False,
HB68,Workers' Compensation,Official LIS subject,Workers' Compensation,,CIBillSubjects.csv,Workers' Compensation,False,
HB80,Health,Official LIS subject,Health,,CIBillSubjects.csv,Health,False,
HB80,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB80,Health,Official LIS subject,Suicide,Health,CIBillSubjects.csv,Suicide,False,
HB80,Veterans,Official LIS subject,Veterans,,CIBillSubjects.csv,Veterans,False,
HB88,Income Tax,Official LIS subject,Income Tax,,CIBillSubjects.csv,Income Tax,False,
HB88,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
HB109,Public Service Companies,Official LIS subject,Public Service Companies,,CIBillSubjects.csv,Public Service Companies,False,
HB109,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB109,Public Service Companies,Official LIS subject,Electric Companies,Public Service Companies,CIBillSubjects.csv,Electric Companies,False,
HB116,Computer Services and Uses,Official LIS subject,Computer Services and Uses,,CIBillSubjects.csv,Computer Services and Uses,False,
HB116,Sales and Use Tax,Official LIS subject,Sales and Use Tax,,CIBillSubjects.csv,Sales and Use Tax,False,
HB116,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
HB116,Retail Sales and Use Tax,Official LIS subject,Retail Sales and Use Tax,,CIBillSubjects.csv,Retail Sales and Use Tax,False,
HB130,"Counties, Cities, and Towns",Official LIS subject,"Counties, Cities, and Towns",,CIBillSubjects.csv,"Counties, Cities, and Towns",False,
HB130,Constitutional Officers,Official LIS subject,Constitutional Officers,,CIBillSubjects.csv,Constitutional Officers,False,
HB141,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
HB141,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB141,Veterans,Official LIS subject,Veterans,,CIBillSubjects.csv,Veterans,False,
HB142,Motor Vehicles,Official LIS subject,Motor Vehicles,,CIBillSubjects.csv,Motor Vehicles,False,
HB142,Crosswalks,Official LIS subject,Crosswalks,,CIBillSubjects.csv,Crosswalks,False,
HB158,Crimes and Offenses Generally,Official LIS subject,Crimes and Offenses Generally,,CIBillSubjects.csv,Crimes and Offenses Generally,False,
HB158,Children,Official LIS subject,Children,,CIBillSubjects.csv,Children,False,
HB158,Firearms,Official LIS subject,Firearms,,CIBillSubjects.csv,Firearms,False,
HB162,"Pensions, Benefits, and Retirement",Official LIS subject,"Pensions, Benefits, and Retirement",,CIBillSubjects.csv,"Pensions, Benefits, and Retirement",False,
HB162,"Pensions, Benefits, and Retirement",Official LIS subject,Retirement Systems,"Pensions, Benefits, and Retirement",CIBillSubjects.csv,Retirement Systems,False,
HB178,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
HB178,"Commissions, Boards, and Institutions Generally",Official LIS subject,"Commissions, Boards, and Institutions Generally",,CIBillSubjects.csv,"Commissions, Boards, and Institutions Generally",False,
HB178,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB181,Education,Official LIS subject,Education,,CIBillSubjects.csv,Education,False,
HB181,Education,Official LIS subject,Public Schools,Education,CIBillSubjects.csv,Public Schools,False,
HB206,"Agriculture, Animal Care and Food",Official LIS subject,"Agriculture, Animal Care and Food",,CIBillSubjects.csv,"Agriculture, Animal Care and Food",False,
HB206,"Pets, Pet Dealers, and Supplies",Official LIS subject,"Pets, Pet Dealers, and Supplies",,CIBillSubjects.csv,"Pets, Pet Dealers, and Supplies",False,
HB211,Educational Institutions,Official LIS subject,Higher Education,Educational Institutions,CIBillSubjects.csv,Higher Education,False,
