year,member_id,MBR_NAME,party,topic_name,classification,topic_vote_events,yes_votes,no_votes,directional_topic_votes,voting_tendency,yes_pct,no_pct
2026,H0392,Mark C. Downey,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0397,May Nivar,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0360,Michael B. Feggans,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0340,Michelle Lopes Maldonado,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0389,Nicole Cole,D,Agriculture and Food,Derived from LIS bill summary,9,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0219,Patrick A. Hope,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0356,Rae Cousins,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0365,"Rozia A. Henson, Jr.",D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0266,Sam Rasoul,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0388,Stacey Annie Carroll,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0108,Vivian E. Watts,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0321,Chris S. Runion,R,Agriculture and Food,Derived from LIS bill summary,8,5,3,8,INSUFFICIENT DATA,62.5,37.5
2026,H0348,Wren M. Williams,R,Agriculture and Food,Derived from LIS bill summary,8,5,3,8,INSUFFICIENT DATA,62.5,37.5
2026,H0345,Anne Ferrell Tata,R,Agriculture and Food,Derived from LIS bill summary,9,5,4,9,INSUFFICIENT DATA,55.55555555555556,44.44444444444444
2026,H0347,"H. Otto Wachsmann, Jr.",R,Agriculture and Food,Derived from LIS bill summary,8,4,4,8,INSUFFICIENT DATA,50.0,50.0
2026,H0262,"James A. ""Jay"" Leftwich",R,Agriculture and Food,Derived from LIS bill summary,8,4,4,8,INSUFFICIENT DATA,50.0,50.0
2026,H0325,Wendell S. Walker,R,Agriculture and Food,Derived from LIS bill summary,8,4,4,8,INSUFFICIENT DATA,50.0,50.0
2026,H0384,Eric Phillips,R,Agriculture and Food,Derived from LIS bill summary,8,3,5,8,INSUFFICIENT DATA,37.5,62.5
2026,H0242,Israel D. O'Quinn,R,Agriculture and Food,Derived from LIS bill summary,8,3,5,8,INSUFFICIENT DATA,37.5,62.5
2026,H0398,Justin Pence,R,Agriculture and Food,Derived from LIS bill summary,8,3,5,8,INSUFFICIENT DATA,37.5,62.5
2026,H0394,Karen Hamilton,R,Agriculture and Food,Derived from LIS bill summary,8,3,5,8,INSUFFICIENT DATA,37.5,62.5
2026,H0335,Mike A. Cherry,R,Agriculture and Food,Derived from LIS bill summary,8,3,5,8,INSUFFICIENT DATA,37.5,62.5
2026,H0357,Will Davis,R,Agriculture and Food,Derived from LIS bill summary,8,3,5,8,INSUFFICIENT DATA,37.5,62.5
2026,H0308,Joseph P. McNamara,R,Agriculture and Food,Derived from LIS bill summary,9,3,6,9,INSUFFICIENT DATA,33.33333333333333,66.66666666666666
2026,H0056,Terry G. Kilgore,R,Agriculture and Food,Derived from LIS bill summary,9,3,6,9,INSUFFICIENT DATA,33.33333333333333,66.66666666666666
2026,H0342,Phillip A. Scott,R,Agriculture and Food,Derived from LIS bill summary,8,2,5,7,INSUFFICIENT DATA,28.57142857142857,71.42857142857143
2026,H0377,Delores Oates,R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0383,Eric R. Zehr,R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0333,Jason S. Ballard,R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0401,Madison Whittle,R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0390,Mitchell Cornett,R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0362,"Thomas A. Garrett, Jr.",R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0364,Timothy P. Griffin,R,Agriculture and Food,Derived from LIS bill summary,8,2,6,8,INSUFFICIENT DATA,25.0,75.0
2026,H0206,Barry D. Knight,R,Agriculture and Food,Derived from LIS bill description,8,0,0,0,INSUFFICIENT DATA,0.0,0.0
2026,H0206,Barry D. Knight,R,Agriculture and Food,Derived from LIS bill summary,5,0,0,0,INSUFFICIENT DATA,0.0,0.0
2026,H0329,Bill Wiley,R,Agriculture and Food,Derived from LIS bill summary,13,8,5,13,MIXED,61.53846153846154,38.46153846153847
2026,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Agriculture and Food,Derived from LIS bill summary,18,11,7,18,MIXED,61.111111111111114,38.88888888888889
2026,H0231,Tony O. Wilt,R,Agriculture and Food,Derived from LIS bill summary,16,9,6,15,MIXED,60.0,40.0
2026,H0383,Eric R. Zehr,R,Agriculture and Food,Derived from LIS bill description,16,9,7,16,MIXED,56.25,43.75
2026,H0238,M. Keith Hodges,R,Agriculture and Food,Derived from LIS bill summary,11,6,5,11,MIXED,54.54545454545454,45.45454545454545
2026,H0124,R. Lee Ware,R,Agriculture and Food,Derived from LIS bill summary,17,7,10,17,MIXED,41.17647058823529,58.82352941176471
2026,H0369,Hillary Pugh Kent,R,Agriculture and Food,Derived from LIS bill summary,16,6,9,15,MIXED,40.0,60.0
2026,H0328,Scott A. Wyatt,R,Agriculture and Food,Derived from LIS bill summary,11,4,7,11,MIXED,36.36363636363637,63.63636363636363
2026,H0247,Michael J. Webert,R,Agriculture and Food,Derived from LIS bill summary,17,5,12,17,NO,29.411764705882355,70.58823529411765
