member_id,MBR_NAME,party,Subject_Id,Subject_Name,subject_vote_events,eligible_subject_events,party_break_events,cross_party_events,cross_party_pct,party_break_pct
H0384,Eric Phillips,R,1142,Wages,2,2,0,0,0.0,0.0
H0384,Eric Phillips,R,192,General Assembly,2,2,0,0,0.0,0.0
H0384,Eric Phillips,R,299,Motor Vehicles,2,2,0,0,0.0,0.0
H0384,Eric Phillips,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0384,Eric Phillips,R,597,Children,2,2,0,0,0.0,0.0
H0384,Eric Phillips,R,636,Congressional Districts,2,2,0,0,0.0,0.0
H0384,Eric Phillips,R,990,Reapportionment,2,2,0,0,0.0,0.0
H0385,JJ Singh,D,192,General Assembly,2,2,0,0,0.0,0.0
H0385,JJ Singh,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0385,JJ Singh,D,636,Congressional Districts,2,2,0,0,0.0,0.0
H0385,JJ Singh,D,721,Firearms,2,2,0,0,0.0,0.0
H0385,JJ Singh,D,990,Reapportionment,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,1142,Wages,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,594,Child Care,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,597,Children,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,785,Human Rights,2,2,0,0,0.0,0.0
H0386,Jessica L. Anderson,D,871,Marriage,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,1142,Wages,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,125,Courts Not of Record,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,192,General Assembly,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,4,Administration of Government,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,636,Congressional Districts,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,721,Firearms,2,2,0,0,0.0,0.0
H0387,"Karen R. ""Kacey"" Carnegie",D,990,Reapportionment,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,1060,State Employees,3,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,1142,Wages,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,14460,Alcoholic Beverage and Cannabis Control,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,192,General Assembly,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,27,Arts and Humanities,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,597,Children,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,636,Congressional Districts,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,721,Firearms,2,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,856,Local Government and Officials,3,2,0,0,0.0,0.0
H0388,Stacey Annie Carroll,D,990,Reapportionment,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,113,"Commissions, Boards, and Institutions Generally",2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,1142,Wages,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,192,General Assembly,2,2,0,0,0.0,0.0
