member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0383,Eric R. Zehr,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,79.0,115.0,79.0,112.0,33.0,0.0,2.0,2.0,0.0,1.7857142857142856,1.7857142857142856,3.0,13.0,10.0,Eric R. Zehr,Eric R. Zehr,R,R
H0362,"Thomas A. Garrett, Jr.",R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,62.0,67.0,59.0,56.0,-3.0,0.0,1.0,1.0,0.0,1.7857142857142856,1.7857142857142856,7.0,7.0,0.0,"Thomas A. Garrett, Jr.","Thomas A. Garrett, Jr.",R,R
H0349,Jackie H. Glass,D,Firearms,Derived from LIS bill description,Present both years,True,True,50.0,65.0,50.0,56.0,6.0,0.0,1.0,1.0,0.0,1.7857142857142856,1.7857142857142856,0.0,1.0,1.0,Jackie H. Glass,Jackie H. Glass,D,D
H0231,Tony O. Wilt,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,111.0,151.0,111.0,150.0,39.0,1.0,4.0,3.0,0.9009009009009008,2.666666666666667,1.7657657657657662,1.0,4.0,3.0,Tony O. Wilt,Tony O. Wilt,R,R
H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,Insurance,Derived from LIS bill description,Present both years,True,True,73.0,116.0,71.0,114.0,43.0,0.0,2.0,2.0,0.0,1.7543859649122806,1.7543859649122806,0.0,3.0,3.0,"Richard C. ""Rip"" Sullivan, Jr.","Richard C. ""Rip"" Sullivan, Jr.",D,D
H0242,Israel D. O'Quinn,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,85.0,136.0,82.0,135.0,53.0,1.0,4.0,3.0,1.2195121951219512,2.9629629629629632,1.743450767841012,4.0,5.0,1.0,Israel D. O'Quinn,Israel D. O'Quinn,R,R
H0325,Wendell S. Walker,R,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,107.0,87.0,104.0,82.0,-22.0,2.0,3.0,1.0,1.9230769230769231,3.658536585365853,1.7354596622889298,2.0,4.0,2.0,Wendell S. Walker,Wendell S. Walker,R,R
H0335,Mike A. Cherry,R,Energy and Utilities,Derived from LIS bill description,Present both years,True,True,75.0,140.0,73.0,140.0,67.0,5.0,12.0,7.0,6.849315068493151,8.571428571428571,1.7221135029354198,6.0,15.0,9.0,Mike A. Cherry,Mike A. Cherry,R,R
H0253,Terry L. Austin,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,90.0,143.0,89.0,141.0,52.0,1.0,4.0,3.0,1.1235955056179776,2.8368794326241136,1.713283927006136,1.0,7.0,6.0,Terry L. Austin,Terry L. Austin,R,R
H0328,Scott A. Wyatt,R,Education,Derived from LIS bill description,Present both years,True,True,148.0,175.0,146.0,174.0,28.0,1.0,4.0,3.0,0.684931506849315,2.2988505747126435,1.6139190678633284,9.0,7.0,-2.0,Scott A. Wyatt,Scott A. Wyatt,R,R
H0364,Timothy P. Griffin,R,Firearms,Derived from LIS bill description,Present both years,True,True,50.0,65.0,50.0,62.0,12.0,0.0,1.0,1.0,0.0,1.6129032258064515,1.6129032258064515,0.0,3.0,3.0,Timothy P. Griffin,Timothy P. Griffin,R,R
